video_id,transition_id,frame_start,frame_end
C00_V0158,C00_V0158_T000000,0,15
C00_V0158,C00_V0158_T000001,16,44
C00_V0158,C00_V0158_T000002,46,65
C00_V0158,C00_V0158_T000003,66,85
C00_V0158,C00_V0158_T000004,87,130
C00_V0158,C00_V0158_T000005,132,210
C00_V0158,C00_V0158_T000006,211,553
C00_V0158,C00_V0158_T000007,554,608
C00_V0158,C00_V0158_T000008,609,644
C00_V0158,C00_V0158_T000009,645,674
C00_V0158,C00_V0158_T000010,675,702
C00_V0158,C00_V0158_T000011,703,735
C00_V0158,C00_V0158_T000012,736,821
C00_V0158,C00_V0158_T000013,822,859
C00_V0158,C00_V0158_T000014,860,905
C00_V0158,C00_V0158_T000015,906,941
C00_V0158,C00_V0158_T000016,942,984
C00_V0158,C00_V0158_T000017,985,1092
C00_V0158,C00_V0158_T000018,1093,1182
C00_V0158,C00_V0158_T000019,1183,1656
C00_V0158,C00_V0158_T000020,1658,1767
C00_V0158,C00_V0158_T000021,1768,1836
C00_V0158,C00_V0158_T000022,1837,1891
C00_V0158,C00_V0158_T000023,1892,1921
C00_V0158,C00_V0158_T000024,1922,1985
C00_V0158,C00_V0158_T000025,1986,2031
C00_V0158,C00_V0158_T000026,2032,2055
C00_V0158,C00_V0158_T000027,2056,2095
C00_V0158,C00_V0158_T000028,2096,2134
C00_V0158,C00_V0158_T000029,2135,2366
C00_V0158,C00_V0158_T000030,2367,2583
C00_V0158,C00_V0158_T000031,2584,2788
C00_V0158,C00_V0158_T000032,2789,2823
C00_V0158,C00_V0158_T000033,2824,2862
C00_V0158,C00_V0158_T000034,2863,2920
C00_V0158,C00_V0158_T000035,2921,2969
C00_V0158,C00_V0158_T000036,2970,3009
C00_V0158,C00_V0158_T000037,3010,3142
C00_V0158,C00_V0158_T000038,3143,3506
C00_V0158,C00_V0158_T000039,3507,3557
C00_V0158,C00_V0158_T000040,3558,3613
C00_V0158,C00_V0158_T000041,3614,3662
C00_V0158,C00_V0158_T000042,3663,3731
C00_V0158,C00_V0158_T000043,3732,3781
C00_V0158,C00_V0158_T000044,3782,3837
C00_V0158,C00_V0158_T000045,3838,3906
C00_V0158,C00_V0158_T000046,3907,3957
C00_V0158,C00_V0158_T000047,3958,4007
C00_V0158,C00_V0158_T000048,4008,4069
C00_V0158,C00_V0158_T000049,4070,4126
C00_V0158,C00_V0158_T000050,4127,4185
C00_V0158,C00_V0158_T000051,4186,4261
C00_V0158,C00_V0158_T000052,4262,4312
C00_V0158,C00_V0158_T000053,4313,4345
C00_V0158,C00_V0158_T000054,4346,4402
C00_V0158,C00_V0158_T000055,4403,4464
C00_V0158,C00_V0158_T000056,4465,4546
C00_V0158,C00_V0158_T000057,4547,4609
C00_V0158,C00_V0158_T000058,4610,4673
C00_V0158,C00_V0158_T000059,4674,4997
C00_V0158,C00_V0158_T000060,4998,5033
C00_V0158,C00_V0158_T000061,5034,5249
C00_V0158,C00_V0158_T000062,5250,5320
C00_V0158,C00_V0158_T000063,5321,5364
C00_V0158,C00_V0158_T000064,5365,5432
C00_V0158,C00_V0158_T000065,5433,5533
C00_V0158,C00_V0158_T000066,5534,5629
C00_V0158,C00_V0158_T000067,5630,5657
C00_V0158,C00_V0158_T000068,5658,5692
C00_V0158,C00_V0158_T000069,5693,6302
C00_V0158,C00_V0158_T000070,6304,6401
C00_V0158,C00_V0158_T000071,6402,6455
C00_V0158,C00_V0158_T000072,6456,6506
C00_V0158,C00_V0158_T000073,6507,6564
C00_V0158,C00_V0158_T000074,6565,6609
C00_V0158,C00_V0158_T000075,6610,6674
C00_V0158,C00_V0158_T000076,6675,6722
C00_V0158,C00_V0158_T000077,6723,6813
C00_V0158,C00_V0158_T000078,6814,6862
C00_V0158,C00_V0158_T000079,6863,6898
C00_V0158,C00_V0158_T000080,6899,7003
C00_V0158,C00_V0158_T000081,7004,7063
C00_V0158,C00_V0158_T000082,7064,7099
C00_V0158,C00_V0158_T000083,7100,7213
C00_V0158,C00_V0158_T000084,7214,7241
C00_V0158,C00_V0158_T000085,7242,7279
C00_V0158,C00_V0158_T000086,7280,7345
C00_V0158,C00_V0158_T000087,7346,7377
C00_V0158,C00_V0158_T000088,7378,7414
C00_V0158,C00_V0158_T000089,7415,7460
C00_V0158,C00_V0158_T000090,7461,7558
C00_V0158,C00_V0158_T000091,7559,7603
C00_V0158,C00_V0158_T000092,7604,7662
C00_V0158,C00_V0158_T000093,7663,7700
C00_V0158,C00_V0158_T000094,7701,7731
C00_V0158,C00_V0158_T000095,7732,7783
C00_V0158,C00_V0158_T000096,7784,8094
C00_V0158,C00_V0158_T000097,8095,8340
C00_V0158,C00_V0158_T000098,8341,8456
C00_V0158,C00_V0158_T000099,8457,8849
C00_V0158,C00_V0158_T000100,8850,8974
C00_V0158,C00_V0158_T000101,8975,9176
C00_V0158,C00_V0158_T000102,9177,9456
C00_V0158,C00_V0158_T000103,9457,9641
C00_V0158,C00_V0158_T000104,9642,9780
C00_V0158,C00_V0158_T000105,9781,9866
C00_V0158,C00_V0158_T000106,9867,10067
C00_V0158,C00_V0158_T000107,10068,10212
C00_V0158,C00_V0158_T000108,10213,10453
C00_V0158,C00_V0158_T000109,10454,10586
C00_V0158,C00_V0158_T000110,10587,10721
C00_V0158,C00_V0158_T000111,10722,10801
C00_V0158,C00_V0158_T000112,10802,10874
C00_V0158,C00_V0158_T000113,10875,10949
C00_V0158,C00_V0158_T000114,10950,11035
C00_V0158,C00_V0158_T000115,11036,11108
C00_V0158,C00_V0158_T000116,11109,11190
C00_V0158,C00_V0158_T000117,11191,11264
C00_V0158,C00_V0158_T000118,11265,11304
C00_V0158,C00_V0158_T000119,11305,11396
C00_V0158,C00_V0158_T000120,11397,11447
C00_V0158,C00_V0158_T000121,11448,11476
C00_V0158,C00_V0158_T000122,11477,11505
C00_V0158,C00_V0158_T000123,11506,11535
C00_V0158,C00_V0158_T000124,11536,11576
C00_V0158,C00_V0158_T000125,11577,11635
C00_V0158,C00_V0158_T000126,11636,11674
C00_V0158,C00_V0158_T000127,11675,11712
C00_V0158,C00_V0158_T000128,11713,11746
C00_V0158,C00_V0158_T000129,11747,11836
C00_V0158,C00_V0158_T000130,11837,12045
C00_V0158,C00_V0158_T000131,12046,12111
C00_V0158,C00_V0158_T000132,12112,12166
C00_V0158,C00_V0158_T000133,12167,12232
C00_V0158,C00_V0158_T000134,12233,12290
C00_V0158,C00_V0158_T000135,12291,12395
C00_V0158,C00_V0158_T000136,12396,12499
C00_V0158,C00_V0158_T000137,12500,12641
C00_V0158,C00_V0158_T000138,12642,12787
C00_V0158,C00_V0158_T000139,12788,12852
C00_V0158,C00_V0158_T000140,12853,12902
C00_V0158,C00_V0158_T000141,12903,12944
C00_V0158,C00_V0158_T000142,12945,12984
C00_V0158,C00_V0158_T000143,12985,13021
C00_V0158,C00_V0158_T000144,13022,13085
C00_V0158,C00_V0158_T000145,13086,13360
C00_V0158,C00_V0158_T000146,13361,13479
C00_V0158,C00_V0158_T000147,13480,13536
C00_V0158,C00_V0158_T000148,13537,13591
C00_V0158,C00_V0158_T000149,13592,13633
C00_V0158,C00_V0158_T000150,13634,13689
C00_V0158,C00_V0158_T000151,13690,13842
